date,Last Friday Night T G I F ,Party Rock Anthem,Moves Like Jagger,Super Bass,Lighters,How To Love,Give Me Everything,Pumped Up Kicks,I Wanna Go,Good Life,Tonight Tonight,Rolling In The Deep,Headlines,The Edge Of Glory,If I Die Young,I'm On One,Remind Me,Best Thing I Never Had,Stereo Hearts,Dirt Road Anthem,Knee Deep,Motivation,You Make Me Feel   ,Just A Kiss,Cheers Drink To That,Barefoot Blue Jean Night,Country Girl Shake It For Me,Where Them Girls At,Just Can't Get Enough,Rain Over Me,She Ain't You,E T ,You And Tequila,The Lazy Song,Every Teardrop Is A Waterfall,Otis,On The Floor,Honey Bee,It Girl,Marvins Room,The Show Goes On,Am I The Only One,Out Of My Head,Who Gon Stop Me,God Gave Me You,I'm Into You,Take A Back Road,Till The World Ends,Sure Thing,My Last,Someone Like You,Take Over Control,Mr  Saxobeat,Made In America,Love You Like A Love Song,Marvin & Chardonnay,Don't Wanna Go Home,Keep Your Head Up,I Love You This Big,Long Hot Summer,Love Done Gone,Better With The Lights Off,Pretty Girls,Hello,Just Fishin',Titanium,Baggage Claim,What You Want,Quickie,In The Dark,Here For A Good Time,Never Gonna Leave This Bed,Smile,Country Must Be Country Wide,Ni**as in Paris,Easy,Man Down,We Don't Get Down Like Y'all,Drunk On You,The Adventures Of Rain Dance Maggie,California King Bed,Skyscraper,Gucci Gucci,Sparks Fly,"Save Me, San Francisco",Don't Stop The Party,Faster,On My Level,Nothing,Till I'm Gone,Unusual,Walk,Booty Wurk One Cheek At A Time,Fish,One More Drinkin' Song,You And I,Mrs  Right,No Sleep,Rumour Has It,Old Alabama,Crazy Girl,Look At Me Now,Don't You Wanna Stay,Homeboy,Best Love Song,Right There,If Heaven Wasn't So Far Away,Under And Over It,Lights,Ships In The Night,Set Fire To The Rain,John,Far Away,Oh My,Tomorrow,Mean,Who Says,Dirty Dancer,Novacane,I Smile,F**kin' Perfect,F**k You Forget You,Up All Night,Outlaw,Racks,Ballin',The Story Of Us,Hustle Hard,Blow,Firework,For The First Time,You Lie,What If,Watch Me,Country Song,Run The World Girls,Roll Up,S&M,Iridescent,Without You,Work Out,I Wouldn't Be A Man,Stitch By Stitch,Taboo,Donald Trump,Inventing Shadows,Man In The Mirror,I Won't Back Down,Written In The Stars,Little Bad Girl,Beautiful,Afraid To Sleep,Heartless,Shake Senora,Losing My Religion,Moving To Mars,Backseat,Major Minus,High,Fix You,Down On Me,Born This Way,Dog Days Are Over,Best Friend's Brother,Heart Like Mine,The Man Who Can't Be Moved,Next To You,So In Love,Price Tag,All Of The Lights,Just The Way You Are,Angel,Today Is Your Day,Jolene,I Need A Doctor,Black Horse And The Cherry Tree,The Cave,See No More,Monster,I Won't Let Go,Pause,Bleed Red,Somewhere Else,Judas,Bow Chicka Wow Wow,Bang Bang Bang,Not Over You,You,Did It On'em,Teenage Daughters,Grenade,International Love,Like My Mother Does,Colder Weather,1+1,Danza Kuduro,Cat Daddy,Sing,It Feels So Good,Light Up The World,Pretending,For Good,Rise Above 1,What The Hell,Marry The Night,"I Love New York / New York, New York",Live A Little,As Long As You're There,I Do,Rope,Hair,Moment 4 Life,A Little Bit Stronger,Pure Imagination,I Can't Love You Back,Back To Black,9 Piece,Boyfriend,My Man,Look It Up,Bring It Back,Jack Sparrow,Love Faces
2011-05-24,0,50,0,52,5,29,55,13,7,68,65,61,18,22,38,52,40,0,0,35,43,97,23,44,0,29,49,21,66,0,52,79,20,67,0,11,55,59,64,0,64,38,44,0,12,48,18,53,57,79,25,74,49,25,5,0,35,40,1,11,17,32,51,76,27,68,16,54,20,58,0,69,84,13,0,97,9,0,25,0,71,4,72,15,25,35,75,42,70,8,100,74,0,79,0,46,2,47,32,63,52,63,67,66,44,49,32,6,69,0,46,86,38,69,24,90,60,17,34,67,53,76,5,58,85,75,30,56,67,12,76,75,91,28,81,87,66,66,13,72,95,31,1,75,10,0,21,18,59,1,78,7,24,5,18,0,56,0,92,45,70,85,18,11,76,65,20,58,59,59,65,86,6,39,60,21,70,7,85,72,97,48,56,23,52,72,53,81,0,47,65,20,2,33,61,51,81,86,34,22,19,94,0,66,21,0,80,27,90,78,85,43,69,26,59,3,43,64,76,56,57,56,81
2011-05-25,0,45,0,48,6,27,59,13,9,71,74,63,20,22,38,67,38,0,0,42,26,93,28,36,1,32,39,30,60,0,49,67,31,69,0,12,59,50,57,0,77,47,43,0,18,61,32,60,67,79,25,64,52,32,4,0,43,38,59,9,17,31,44,74,18,65,22,53,19,59,0,64,86,26,0,90,7,0,25,0,74,5,71,16,0,39,72,44,69,12,83,72,0,78,0,47,0,60,46,56,41,70,96,76,51,48,39,2,68,7,50,82,43,71,24,91,53,17,27,68,54,76,4,58,86,56,100,48,66,11,71,69,88,32,91,62,84,61,12,69,83,52,6,71,9,0,21,14,70,2,78,4,20,10,17,1,58,0,90,40,78,66,17,8,82,43,18,69,61,52,61,89,6,38,58,29,69,4,79,94,88,78,28,23,69,69,55,82,0,56,68,25,100,37,61,52,72,91,21,100,100,97,3,64,18,38,59,100,92,74,87,55,100,17,64,3,36,68,79,64,60,59,74
2011-05-26,0,50,0,47,8,39,54,18,8,68,71,62,20,28,35,67,45,0,0,44,34,90,25,33,1,25,60,29,63,1,51,69,32,70,0,12,58,63,62,0,80,58,33,0,12,54,33,59,63,78,23,55,53,21,4,0,46,30,100,13,15,29,46,74,9,75,34,52,23,59,7,56,87,19,0,89,8,0,19,0,67,5,77,14,0,38,74,46,71,11,87,72,0,78,26,45,2,58,36,50,41,76,72,70,76,48,52,2,68,3,45,82,38,79,24,89,61,14,26,88,69,0,4,52,82,55,60,69,66,10,74,71,90,35,84,57,78,55,15,74,79,21,4,69,7,0,37,25,75,2,80,11,25,21,17,0,75,1,91,44,64,60,19,11,63,31,20,59,61,63,64,84,11,35,69,7,72,5,79,65,91,79,49,30,65,72,37,83,0,52,71,26,63,48,62,55,80,92,49,85,90,90,100,63,16,19,55,82,84,79,83,45,79,16,70,3,41,70,82,49,59,53,73
2011-05-27,0,60,0,49,5,50,58,16,9,69,69,64,17,27,39,57,35,0,0,32,44,80,24,35,4,31,37,25,65,0,49,70,26,79,0,12,64,49,58,0,81,74,38,0,14,58,22,53,66,90,23,66,57,19,3,0,56,40,62,23,21,28,48,79,28,73,17,54,24,58,15,63,82,41,0,79,8,0,3,0,77,4,70,17,0,39,66,51,68,13,81,70,0,81,14,47,2,61,23,47,45,69,49,57,100,54,68,2,69,14,57,81,40,77,24,81,69,21,33,79,32,0,4,44,78,58,39,66,66,13,71,79,88,35,89,53,79,62,19,79,67,44,1,69,9,0,29,34,79,2,82,4,32,11,22,0,64,0,86,50,73,60,22,21,66,41,15,75,72,59,68,87,5,42,69,30,68,8,82,59,82,53,37,27,59,76,55,84,0,49,74,30,32,44,60,64,86,85,36,79,76,89,59,71,22,100,70,48,83,72,86,45,71,29,47,3,36,68,76,51,59,53,64
2011-05-28,0,71,0,57,7,55,75,16,12,66,84,76,16,28,34,63,47,1,0,37,50,66,34,33,1,36,35,40,73,0,47,93,25,100,0,11,78,58,58,0,79,81,57,0,17,80,24,79,59,80,31,85,69,19,4,0,54,49,50,12,11,31,58,91,31,67,15,55,22,66,5,70,88,8,0,80,9,0,11,0,93,5,78,14,0,63,84,60,82,16,69,76,0,89,0,48,2,56,47,45,51,76,56,64,94,62,17,3,75,9,65,77,44,97,22,74,82,23,24,76,30,0,4,56,86,59,45,62,77,15,81,96,85,50,88,61,100,72,20,87,65,41,5,94,8,0,29,23,78,2,92,14,30,13,22,0,100,0,77,49,100,68,27,49,100,35,18,72,87,72,81,97,12,40,75,65,80,7,90,42,72,86,64,31,57,84,42,96,62,55,83,31,33,68,71,76,72,97,44,78,76,95,73,97,20,25,72,71,90,76,91,52,67,25,90,4,63,76,95,51,74,66,82
2011-05-29,0,75,0,54,7,59,74,17,13,70,77,73,15,26,35,58,49,1,0,44,57,80,28,34,1,35,51,33,56,1,49,88,27,92,0,11,75,53,71,0,63,45,37,0,16,68,27,60,56,82,34,66,57,26,5,0,61,46,42,12,19,22,58,95,24,78,13,63,22,74,0,56,90,17,0,86,11,0,29,0,99,5,80,13,0,52,82,56,78,17,81,87,0,88,0,47,2,63,28,65,39,79,52,50,55,64,17,0,78,9,60,81,40,100,24,77,75,23,44,73,40,0,6,65,81,67,44,42,73,15,100,88,91,52,85,54,95,67,18,88,66,55,3,88,9,0,35,19,81,0,90,0,29,7,28,0,69,0,70,52,87,57,15,60,53,46,17,94,83,70,75,99,14,38,78,57,84,8,88,74,64,50,46,26,56,84,45,97,0,74,82,36,21,59,82,73,77,91,40,43,47,94,100,90,16,50,77,36,95,79,81,49,48,14,72,3,33,81,78,74,58,62,65
2011-05-30,0,56,0,43,7,56,59,13,9,74,61,62,17,22,38,50,31,0,0,30,47,88,28,26,1,33,39,26,51,0,37,79,34,66,0,12,60,55,56,0,69,59,43,0,17,48,22,52,44,77,27,61,53,21,4,0,41,46,31,13,18,39,55,81,9,72,15,48,21,61,4,53,79,0,0,93,10,0,15,0,77,5,68,11,27,43,68,46,65,9,74,75,0,83,0,40,2,50,64,40,44,65,49,42,50,50,34,4,67,7,49,77,38,72,21,75,61,13,25,64,41,81,4,55,77,49,27,39,69,12,78,82,82,45,72,38,82,55,15,79,66,44,2,73,8,0,32,15,72,1,84,0,30,11,15,0,60,1,69,46,69,40,12,100,63,12,16,61,62,52,63,88,13,41,61,30,69,7,78,41,79,55,56,21,45,71,35,80,0,30,64,51,9,57,66,61,47,90,23,34,41,87,38,68,13,20,51,39,86,87,75,50,65,11,73,3,39,70,79,66,36,52,63
2011-05-31,0,54,0,47,7,53,59,15,10,65,60,59,20,21,31,57,38,1,0,32,42,91,25,27,0,27,43,24,54,0,43,74,27,70,11,13,55,59,60,0,58,56,46,0,19,62,21,51,60,77,25,47,55,20,3,0,44,51,28,14,29,26,55,78,12,70,16,54,28,53,4,65,83,19,0,91,20,0,19,0,66,4,70,12,0,39,65,55,66,12,77,75,0,81,0,43,5,50,72,59,48,58,50,59,51,43,19,2,70,0,47,82,38,78,21,86,54,19,38,76,15,0,4,50,74,63,29,64,65,11,77,73,91,39,72,36,80,46,23,80,82,10,4,68,7,0,27,18,73,1,82,11,22,8,19,2,57,0,89,42,72,39,25,49,51,54,15,64,69,59,60,85,15,41,62,29,74,10,82,39,83,58,60,20,44,73,38,82,0,52,62,70,13,43,65,54,52,88,32,37,27,91,26,70,11,0,66,0,91,75,84,51,66,13,35,3,43,66,71,69,54,46,57
2011-06-01,0,55,0,49,5,49,59,15,8,65,65,60,19,18,36,61,38,22,0,41,50,79,24,28,0,49,27,23,52,1,41,76,47,72,15,13,54,61,57,0,69,47,32,0,17,53,21,52,59,75,25,64,55,19,2,0,53,53,24,9,23,37,56,77,9,72,16,52,19,58,0,37,82,19,0,87,49,0,8,0,74,4,74,10,26,45,71,59,65,7,64,73,0,80,0,41,3,59,65,45,43,70,39,61,48,49,19,2,68,7,45,79,39,79,20,90,58,14,31,64,77,0,6,47,79,63,29,59,66,10,84,75,89,35,65,35,73,48,39,79,89,21,5,73,8,0,32,14,72,2,82,4,22,0,24,0,60,0,85,48,75,38,17,52,74,55,13,74,62,55,56,86,9,33,56,14,65,6,82,56,80,63,35,19,52,71,44,82,48,61,63,100,13,54,73,62,70,82,20,32,36,93,17,69,11,0,88,37,91,72,85,44,51,15,45,3,44,66,80,83,48,42,80
2011-06-02,0,57,0,51,14,55,64,13,9,71,67,67,18,19,41,68,47,29,1,36,45,70,24,37,3,25,43,23,54,0,53,78,49,75,13,13,59,55,66,0,71,61,45,0,12,69,34,56,64,78,25,60,55,29,4,0,51,55,30,8,12,43,52,81,25,72,19,54,25,59,8,64,85,20,0,86,86,0,9,0,85,5,70,13,27,50,75,51,70,11,72,81,0,78,0,45,6,58,30,52,48,67,53,54,56,55,20,2,72,11,54,82,39,79,22,93,61,21,41,74,40,0,5,58,74,83,34,53,66,12,87,81,96,38,88,41,81,63,37,76,86,22,1,75,11,0,31,15,63,2,83,4,31,11,20,1,64,0,90,46,76,36,19,43,78,49,17,72,66,57,66,90,11,45,61,38,70,11,83,63,75,53,52,21,45,68,44,86,100,84,62,74,19,62,67,78,64,88,19,41,39,94,7,74,8,0,66,10,93,82,90,49,63,14,57,3,46,68,85,93,54,43,68
2011-06-03,0,64,0,57,47,56,64,17,10,74,71,62,20,17,30,66,41,21,0,42,45,73,27,29,3,32,39,26,56,0,50,87,65,76,91,10,63,55,66,0,68,70,47,0,18,65,30,55,70,84,26,62,61,28,5,0,52,48,34,19,40,35,48,81,35,67,19,50,22,61,12,63,80,0,0,82,100,0,32,0,84,4,73,11,0,40,67,57,68,11,63,83,0,81,14,43,5,60,34,26,52,69,42,86,47,52,48,2,70,7,60,83,40,75,22,82,62,14,26,54,16,0,4,56,74,75,27,68,74,12,81,82,90,36,87,40,87,57,63,84,75,44,4,75,9,0,41,11,63,2,83,4,23,8,11,0,61,0,86,36,72,36,21,52,54,49,16,71,69,50,65,88,11,42,54,23,62,98,88,59,77,53,67,21,48,68,36,86,0,90,71,80,15,51,62,75,82,86,25,28,35,92,14,69,9,0,47,29,89,68,89,37,51,10,47,2,41,69,80,66,71,47,83
2011-06-04,0,82,0,62,51,58,74,19,10,78,86,79,19,22,32,75,60,15,2,43,44,65,32,32,3,37,43,35,61,0,57,81,84,86,100,11,79,66,70,0,88,62,48,0,21,68,40,68,74,87,28,63,68,32,5,0,71,58,27,10,23,39,59,96,31,71,5,58,24,69,0,58,87,8,0,77,91,0,15,0,100,5,76,13,0,62,82,74,82,12,67,91,0,85,0,46,2,59,61,54,51,77,85,67,60,77,51,3,78,4,63,79,42,85,23,76,71,23,42,91,61,0,6,54,77,68,38,58,77,13,86,89,92,52,74,41,89,76,60,83,63,14,5,100,8,0,33,14,84,2,95,0,31,27,22,0,75,3,81,54,94,47,28,54,64,61,18,76,82,66,75,100,8,42,74,28,77,72,96,62,68,45,46,24,54,79,44,97,0,68,78,88,11,74,68,100,100,94,24,24,33,96,13,79,10,0,63,48,94,83,100,45,58,9,85,2,57,78,89,72,70,58,68
2011-06-05,0,71,0,63,44,56,74,14,11,81,78,75,22,20,39,66,51,12,0,49,64,73,32,32,5,37,49,34,67,0,39,87,49,82,74,11,71,55,69,0,84,54,55,0,13,77,32,62,53,81,33,80,83,20,4,0,56,55,21,16,7,42,60,90,30,70,10,64,23,71,9,81,84,16,0,91,72,0,25,0,97,5,82,13,0,49,84,68,84,6,86,86,0,89,0,46,4,46,32,33,56,71,54,81,58,82,49,3,77,0,78,83,41,83,22,90,63,18,45,93,39,0,5,62,84,66,37,50,77,13,99,91,99,57,88,42,74,66,73,83,98,93,4,95,9,0,35,23,73,2,92,5,28,20,33,3,85,8,78,58,77,38,19,83,72,39,18,75,83,64,74,99,19,43,70,27,92,69,100,30,78,79,45,23,47,76,49,95,0,60,73,63,11,61,68,79,67,91,30,22,31,96,4,77,7,0,61,0,95,86,87,36,46,19,63,3,47,79,89,74,57,59,94
2011-06-06,0,58,0,52,35,52,60,13,11,67,59,57,20,18,31,63,50,12,0,38,41,91,23,33,2,28,39,23,46,0,52,77,74,68,55,13,55,49,53,0,100,30,63,0,20,62,28,46,55,78,23,42,58,41,4,0,50,56,18,13,32,30,42,78,50,69,18,51,22,56,25,51,83,26,0,94,52,0,11,0,84,3,70,9,0,28,67,60,65,13,78,75,0,78,0,43,8,49,100,39,43,57,64,65,55,56,71,2,69,3,54,78,39,74,20,87,54,18,37,65,46,0,4,49,66,64,24,54,66,10,75,68,91,40,64,28,79,51,41,76,94,21,4,70,8,0,18,29,71,3,79,11,20,10,22,1,65,6,87,38,60,29,18,58,54,19,19,65,62,48,63,88,18,41,49,29,76,35,92,71,79,54,63,20,46,65,41,82,0,84,60,66,14,48,63,59,57,81,32,16,25,89,10,59,7,19,44,0,91,84,83,37,39,14,35,2,42,66,75,47,44,41,51
2011-06-07,0,57,0,51,39,50,62,16,13,65,63,55,24,16,39,65,42,11,0,41,50,97,28,28,1,37,40,24,55,1,44,75,54,72,46,14,53,54,52,0,82,55,68,1,18,59,37,49,61,73,25,59,62,23,3,0,50,54,19,14,26,29,51,75,27,73,2,55,29,60,22,64,86,6,0,88,50,0,16,0,80,4,67,16,50,49,65,60,68,5,71,73,0,77,13,42,12,43,18,50,58,54,46,73,51,61,45,2,69,7,59,82,38,72,21,87,60,18,48,60,53,0,4,52,75,52,26,39,71,9,77,72,94,41,67,23,78,46,39,80,84,31,4,74,8,0,33,18,65,1,80,11,24,3,18,1,56,11,84,48,62,29,21,51,76,27,36,76,61,48,54,88,25,43,59,7,81,32,92,59,92,78,38,20,55,68,54,81,0,65,61,68,9,54,63,68,74,83,19,17,23,92,0,57,6,0,58,9,93,81,89,29,61,16,44,3,35,68,81,80,56,37,53
2011-06-08,0,61,0,56,31,49,62,15,12,74,66,57,23,16,34,57,59,11,0,48,51,94,25,30,1,29,51,26,69,2,38,80,59,70,38,12,57,49,61,0,79,62,48,0,12,60,39,51,54,72,27,38,53,29,2,0,56,48,19,9,17,35,60,79,24,68,20,59,18,59,26,68,82,26,0,90,47,0,17,6,83,5,71,13,0,50,64,63,65,7,63,70,0,80,39,42,9,53,50,54,46,65,50,64,54,60,39,0,68,17,71,81,41,71,21,90,63,24,42,56,38,0,4,56,70,58,24,55,73,11,78,75,90,40,72,37,84,47,29,70,89,42,9,73,8,0,29,11,58,1,79,0,100,8,17,1,64,9,85,45,62,26,16,56,66,66,26,82,71,42,66,88,15,41,56,29,73,23,90,54,100,67,49,19,47,72,49,82,0,71,60,65,11,45,62,65,62,86,34,21,27,92,0,61,7,0,51,18,93,72,87,28,51,22,60,2,38,67,77,62,38,36,74
2011-06-09,0,65,0,59,31,52,69,16,12,69,64,59,24,18,45,60,54,9,13,100,66,88,26,48,0,44,91,30,59,4,48,100,67,70,34,11,57,59,61,41,71,41,50,0,28,71,33,49,60,81,27,46,67,97,2,0,44,59,18,71,24,46,65,77,18,74,8,56,15,59,11,89,87,46,0,89,46,0,25,3,86,4,70,12,26,47,66,64,71,11,76,77,0,76,0,43,8,47,51,59,37,64,58,60,47,60,78,4,68,3,60,82,38,70,22,90,57,23,56,67,39,0,4,81,70,75,29,44,86,12,80,77,92,35,77,36,65,45,38,86,89,11,2,73,6,0,27,14,62,1,80,0,59,16,17,0,53,6,84,50,63,30,23,46,55,51,22,68,74,41,61,86,20,41,57,7,72,23,88,100,98,49,36,20,51,69,49,84,0,100,58,53,10,50,63,63,67,86,27,22,25,90,17,57,7,19,48,0,92,77,85,34,49,14,60,3,49,64,70,68,44,38,68
2011-06-10,0,71,0,57,33,56,76,18,12,73,73,61,23,19,38,63,64,10,17,91,60,81,32,38,5,43,56,28,60,4,43,94,44,78,35,12,55,66,53,65,73,79,48,0,20,55,29,55,59,77,26,48,70,64,2,9,65,51,18,29,28,26,55,82,19,80,17,50,24,60,27,61,83,14,0,82,50,0,20,0,89,4,79,9,27,51,73,57,69,6,79,76,0,77,14,44,5,55,42,60,48,65,49,100,53,73,68,6,69,0,61,80,39,77,22,84,66,20,41,64,73,0,4,63,65,52,24,41,70,12,89,80,84,41,86,31,81,54,38,77,73,44,4,75,6,0,35,0,65,2,80,0,49,16,28,3,48,3,84,50,69,29,20,53,54,16,20,69,77,39,66,88,11,37,64,15,71,20,88,48,99,64,70,20,39,67,48,85,0,74,66,57,5,50,64,66,73,85,32,18,28,89,7,66,7,0,66,0,89,75,87,32,50,15,26,2,44,63,84,65,47,39,60
2011-06-11,25,90,0,67,36,59,96,16,13,79,87,76,16,25,42,72,62,11,10,79,66,66,28,37,5,34,82,45,68,5,53,79,48,97,34,10,76,58,80,60,96,69,88,0,19,82,33,74,56,89,34,88,92,49,3,26,67,62,17,23,4,34,66,96,15,71,18,56,20,77,19,77,87,50,0,82,45,0,14,2,99,4,78,15,0,75,84,63,81,4,79,81,0,86,0,49,8,65,23,71,55,78,65,82,58,77,50,3,80,4,71,80,45,86,23,81,83,24,44,82,10,0,5,73,72,58,36,58,77,14,98,91,89,54,97,50,77,58,40,87,70,13,1,96,7,0,35,18,65,1,93,0,53,23,23,0,72,2,78,58,87,35,20,75,70,20,21,87,88,60,74,98,23,46,62,46,78,21,99,69,85,44,64,24,47,80,65,99,0,85,78,62,7,56,72,89,85,91,32,17,31,95,9,77,7,0,38,0,94,80,92,36,52,20,51,2,53,78,84,49,63,47,59
2011-06-12,25,90,0,69,32,59,89,20,13,80,84,69,21,24,38,68,51,10,18,61,56,71,32,37,0,26,58,37,61,5,62,74,64,96,32,10,72,64,74,54,84,75,82,0,14,68,30,68,54,91,34,89,67,48,3,5,61,50,12,35,34,35,66,90,27,69,15,66,22,72,33,80,94,8,0,91,41,0,25,1,100,5,79,18,0,60,83,73,77,8,89,88,0,91,17,50,6,58,65,64,66,68,55,73,61,85,50,8,82,9,78,87,47,89,23,91,75,21,36,82,20,0,6,68,71,75,25,55,81,14,94,95,100,61,94,42,82,55,39,89,78,40,3,92,8,0,25,14,69,1,92,10,46,10,21,0,63,10,77,54,90,33,24,75,81,20,24,91,82,54,71,95,60,51,60,28,91,20,98,53,82,70,73,22,51,78,68,99,0,79,75,89,12,68,82,78,82,85,18,25,23,100,0,77,9,0,24,12,98,80,87,46,56,19,38,3,42,82,93,61,54,46,61
2011-06-13,40,65,0,52,27,53,63,13,12,74,66,55,22,20,40,53,50,12,10,68,63,85,23,34,2,39,50,29,50,3,44,84,51,72,30,15,53,65,63,48,66,68,59,0,16,59,36,53,58,82,29,54,71,38,3,37,52,58,11,17,27,26,59,79,27,71,8,57,29,66,11,62,87,26,0,99,33,0,17,2,79,4,71,10,0,50,79,55,69,9,74,73,0,82,13,39,2,56,51,44,47,60,44,56,49,79,46,0,71,7,55,85,36,74,22,90,67,17,29,64,39,0,5,64,71,74,24,38,65,11,80,73,92,44,79,36,69,41,29,84,83,21,4,64,6,0,20,18,64,1,82,11,33,13,20,1,50,3,85,61,60,26,19,42,55,32,20,77,67,51,56,91,100,48,51,44,82,29,93,70,83,56,57,18,49,66,51,85,0,86,60,59,6,34,68,58,63,85,22,21,20,93,7,64,7,0,64,0,95,83,85,36,54,9,51,3,42,74,78,84,51,35,68
2011-06-14,58,68,0,56,31,52,62,14,11,73,63,53,22,19,32,54,56,10,20,69,57,93,24,38,1,39,60,24,52,4,46,73,55,72,26,15,51,58,60,48,64,46,37,0,16,65,48,50,53,87,26,58,58,31,3,100,48,65,16,14,17,29,64,79,15,81,25,55,30,63,29,59,86,19,0,95,33,0,14,2,77,4,69,12,25,49,71,70,63,4,78,72,0,79,13,43,3,55,60,51,49,55,53,70,53,68,25,4,67,13,56,82,36,68,23,91,62,16,38,70,30,0,4,51,68,51,19,52,63,11,74,73,94,33,69,28,66,40,34,71,91,10,0,71,8,0,32,7,52,1,80,4,31,13,17,0,54,9,78,54,63,24,17,40,45,54,18,83,61,45,56,85,80,40,49,7,70,30,89,44,89,42,48,18,41,66,48,79,0,42,55,44,6,55,64,56,58,80,19,25,28,92,19,53,7,0,51,18,89,85,85,26,52,10,34,2,32,67,87,52,32,28,64
2011-06-15,20,67,1,57,41,50,66,15,11,70,77,54,25,21,42,65,53,9,18,64,52,94,24,33,0,42,47,25,46,5,41,74,54,64,20,13,51,59,59,68,74,51,52,0,22,65,30,43,47,81,27,59,57,40,4,69,57,39,13,14,38,63,56,81,18,76,16,55,25,61,62,69,80,13,0,93,30,0,14,1,77,4,70,9,0,48,74,65,67,4,80,70,0,78,13,42,6,52,18,35,54,56,60,70,50,61,39,6,67,10,59,80,38,73,22,92,74,19,47,65,23,0,6,48,74,45,26,40,69,11,82,69,93,39,80,27,66,44,28,72,81,31,4,65,8,0,22,11,60,3,78,7,53,5,17,0,50,1,80,43,56,21,18,42,23,50,17,65,64,49,57,86,60,100,54,100,67,20,82,47,90,50,67,18,44,63,39,81,0,61,57,40,5,38,63,58,66,80,20,20,29,89,7,68,6,0,55,0,89,74,84,26,46,11,54,3,27,68,78,49,42,28,72
2011-06-16,20,68,0,57,46,51,61,14,12,62,73,55,22,36,41,55,66,12,15,65,60,87,28,33,2,42,58,25,50,5,49,71,51,68,22,13,52,60,60,63,72,46,55,0,24,63,45,48,59,81,25,68,64,39,6,58,57,79,19,24,24,100,57,79,33,77,20,53,22,62,41,52,84,13,0,86,32,0,28,1,77,5,73,8,0,56,74,61,67,8,65,71,0,77,0,42,0,52,47,53,57,54,62,59,43,75,33,0,70,0,61,78,40,74,20,87,66,18,96,69,54,0,5,61,63,47,23,43,70,11,81,75,88,39,85,25,66,39,30,72,97,21,3,69,7,0,28,14,58,2,81,0,44,21,26,0,51,15,77,51,59,25,14,43,52,24,18,64,67,45,57,86,24,62,49,65,71,25,84,46,94,39,28,17,40,66,47,85,0,95,60,45,6,52,62,61,67,87,27,15,23,90,3,59,5,0,41,9,91,69,85,25,48,7,40,2,30,66,77,48,41,29,46
2011-06-17,42,76,1,58,46,51,78,15,15,69,68,60,23,96,43,62,70,11,15,72,66,74,28,28,0,59,70,32,58,6,57,75,77,71,26,12,59,70,63,59,67,71,57,0,14,70,54,50,64,87,30,51,70,44,23,35,57,66,12,25,22,70,77,84,32,75,15,55,25,64,27,57,81,41,0,86,32,0,15,0,75,4,77,10,0,55,82,62,70,3,81,74,0,84,28,42,3,60,61,42,53,60,61,77,54,66,55,2,70,11,63,83,39,74,25,83,71,21,100,63,16,0,4,100,67,69,27,42,77,12,67,84,87,43,88,30,65,43,42,76,78,45,5,73,6,0,27,8,60,3,87,4,34,36,22,0,47,0,79,44,62,27,21,50,40,50,50,71,73,46,60,94,40,59,59,23,78,16,85,62,97,32,38,20,38,71,50,88,0,70,54,50,8,54,63,65,68,88,40,18,25,88,11,65,7,0,63,0,88,80,87,28,61,13,26,2,37,65,90,54,61,34,75
2011-06-18,25,92,0,66,64,56,91,17,17,79,77,75,22,77,43,73,70,11,17,72,80,69,32,33,1,43,65,35,51,5,54,73,53,89,23,14,74,63,68,67,69,65,50,0,19,58,29,56,51,93,32,66,100,33,28,46,83,57,15,30,30,65,71,96,72,73,20,61,26,71,37,45,89,25,0,83,38,0,14,2,93,4,80,10,65,65,77,63,75,14,73,80,0,88,0,47,4,67,73,66,65,69,77,79,63,71,66,3,78,9,56,83,48,100,22,79,81,21,73,77,49,0,5,92,76,71,33,42,75,16,80,96,85,59,91,38,59,57,35,87,73,27,3,92,8,0,36,9,62,2,93,9,42,42,26,2,54,14,71,53,77,32,18,62,51,54,92,78,87,59,75,96,38,54,62,46,80,16,88,33,74,51,49,23,50,78,71,98,0,72,78,54,6,38,68,79,89,88,20,25,39,89,4,71,9,24,56,12,90,86,88,34,38,4,25,2,37,75,84,45,42,34,48
2011-06-19,0,88,0,67,71,58,90,20,19,85,75,66,15,61,49,62,72,14,14,63,49,75,37,29,0,44,42,36,44,5,43,77,92,90,31,11,72,79,72,54,77,55,61,0,20,63,36,61,51,88,32,71,80,62,29,31,80,74,12,23,34,66,66,95,100,70,25,64,27,83,33,82,93,25,0,88,39,0,21,1,90,5,81,12,0,66,83,68,81,8,82,85,0,96,17,51,0,60,51,60,50,64,37,60,66,75,100,3,78,9,77,85,45,90,22,84,82,22,54,83,10,0,5,86,70,85,29,34,76,16,91,87,93,60,85,28,68,51,38,91,80,67,5,87,9,0,27,18,63,2,96,5,35,30,21,0,61,6,69,56,72,30,23,45,37,50,100,78,81,50,73,97,51,55,57,37,87,17,93,42,85,39,32,22,42,76,40,98,0,49,72,52,7,60,71,74,90,94,44,30,33,99,9,73,11,0,47,12,97,84,86,37,44,11,38,4,52,81,93,56,76,34,66
