date,Stay,Bad Habits,Good 4 U,Rumors,Kiss Me More,Levitating,Industry Baby,Butter,Deja Vu,Montero (Call Me By Your Name),Save Your Tears,Fancy Like,Take My Breath,Peaches,Leave The Door Open,Essence,You Right,Happier Than Ever,Heartbreak Anniversary,Need To Know,Blinding Lights,Glad You Exist,Leave Before You Love Me,Every Chance I Get,Forever After All,Late At Night,Thot Shit,Rapstar,Traitor,Waves,Skate,Without You,Pepas,Heat Waves,Wockesha,Astronaut In The Ocean,Things A Man Oughta Know,Arcade,Lil Bit,Famous Friends,Beautiful Mistakes,Beggin',Country Again,Chasing After You,Volvi,Drinkin' Beer  Talkin' God  Amen ,We Didn't Have Much,If I Didn't Love You,Whole Lotta Money,Cold Beer Calling My Name,2055,Single Saturday Night,Motley Crew,Todo de Ti,A-O-K,Yonaguni,Wild Side,Love Again,Ain't Shit,Drunk (And I Don't Wanna Go Home),You,Memory,You Should Probably Leave,Don't Go Yet,Paralyzed,Permission To Dance,I Was On A Boat That Day,Woman,Tombstone,My Boy,Gyalis,Memory I Don't Mess With,Come Through,You Time,Get Into It (Yuh),Buy Dirt,Cold As You,Mind Of Melvin,Papercuts,Baddest,Cold Heart (PNAU Remix),SUVs (Black On Black),Straightenin,Blame It On You,AM,Hats Off,Knowing You,Over The Top,Brainwashed,my life,Thinking 'Bout You,WUSYANAME,Favorite Crime,Outside,Ball If I Want To,Next Girl,I Like Dat,Steal My Love,Repeat It,5500 Degrees,Telepatia,My Ex's Best Friend,NDA,EPMD 2,Lose,I Hope Ur Miserable Until Ur Dead,Not Sober,Happier,Twerkulator,Fiel,Rare,Best Friend,Mood,One Too Many,Getting Older,Billie Bossa Nova,Oxytocin,I Didn't Change My Number,Way Less Sad,Lost Cause,Halley's Comet,My Future,Build A Bitch,From The Garden,Working,Wants And Needs,Settling Down,Gone,Red Light Green Light,Better Believe,Lick Back,Ski,Brutal,Minimum Wage,Holy Smokes,Still Chose You,Drivers License,Tell The Vision,pov,Bout A Million,Woo Baby,Mr  Jones,More Time,Manslaughter,Demeanor,transparentsoul,Am I The Only One,30,"Jealousy, Jealousy",Calling My Phone,Breaking Up Was Easy In The 90's,The Jackie,Follow You,Volando,4 Da Gang,De Museo,Wasting Time,All I Know So Far,Miss The Rage,Track Star,Renegade,Cry No More,Made For You,Having Our Way,What's Next,Enough For You,Juggernaut,Tell Em,Lemonhead,Lumberjack,Almost Maybes,Hot Wind Blows,Corso,I Don't Do Drugs,Sir Baudelaire,Sweet / I Thought You Wanted To Dance,Massa,RunItUp,Manifesto,Wilshire,Rise,What You Know Bout Love,Time Today,Up,Beat Box,Nobody,No Return,No More Parties,Quicksand,Gang Gang,Pick Up Your Feelings,Avalanche,We're Good,pride is the devil,Still Runnin,How It Feels,Black Hearted,Painting Pictures,Modern Day,Toxic,Solar Power,Malibu,Type Shit,Clueless,Voice Of The Heroes,Heart Of A Giant,Party Lyfe,Go Part 1,Epidemic,Boom,2040,"1 Step Forward, 3 Steps Back",Bloody Canvas,Who I Want,Back In Blood,Still Hood,Okay,Man Of My Word,Medical,Rich Off Pain,Lying,Snowflakes,That's Facts,Your Power,Please,Up The Side,Hope Ur OK,If You Want To,Seeing Green,The Good Ones,Hell Of A View,On Me,Killer,amari,Maybach,Goosebumps,Solid,Hello,The Business,95 south,Drankin N Smokin,Hold On,Wasted On You,Botella Tras Botella,Sun Goes Down,interlude,applying pressure,Streets,100 mil',let go my hand,24 Hours,punchin' the clock,the climb back
2021-05-21,79,5,95,13,72,88,0,100,92,48,42,1,7,63,84,65,78,9,70,50,71,38,63,58,56,25,0,71,100,83,11,83,13,58,67,83,48,66,69,42,55,2,44,48,4,0,0,8,12,27,39,27,9,16,0,0,11,48,8,0,83,89,9,2,75,0,93,67,76,84,6,0,90,85,0,56,48,35,4,61,0,0,17,44,91,40,88,26,16,82,54,0,85,86,7,45,44,13,88,0,72,20,21,0,83,0,12,34,100,68,77,22,91,80,15,0,18,5,59,4,5,89,73,48,73,32,51,83,36,19,28,63,100,91,16,3,81,1,50,0,4,58,88,49,42,20,9,49,100,65,62,45,93,25,68,62,12,77,11,40,59,34,92,10,76,100,33,23,8,45,33,1,93,0,0,0,81,0,50,36,75,87,36,76,83,55,63,55,79,74,73,26,80,13,0,80,3,29,40,92,18,85,4,22,1,0,0,22,79,80,83,100,0,79,47,11,86,32,78,0,77,24,0,38,85,84,100,89,22,36,53,72,32,8,68,73,92,74,85,19,44,84,45,56,100,12,10,82,55,10,74,11,9
2021-05-22,77,4,100,12,74,90,0,79,100,72,46,2,8,76,96,69,77,5,76,47,86,53,35,61,45,29,0,60,79,84,14,83,13,50,86,100,35,100,80,45,59,3,53,53,5,0,0,4,15,15,35,35,11,16,0,0,14,69,6,0,85,83,10,0,55,0,43,77,44,97,8,0,76,82,1,82,50,6,2,55,0,0,16,27,90,50,74,24,16,85,44,0,67,91,0,39,64,41,50,0,77,0,18,0,81,0,11,28,64,63,89,24,96,68,12,0,18,0,37,4,0,69,78,63,67,20,66,89,38,15,48,74,86,78,31,9,64,1,54,0,3,88,79,40,32,0,7,46,37,70,86,52,94,27,57,58,13,60,11,53,65,12,77,5,78,73,32,38,2,44,24,0,90,0,0,0,84,0,43,31,78,95,48,78,70,65,55,39,84,78,86,58,65,10,0,66,5,29,40,93,17,95,7,25,0,0,0,11,51,79,64,63,0,64,35,13,91,65,53,0,88,27,0,32,78,69,57,81,18,68,43,83,37,6,64,71,78,71,68,19,16,78,46,58,67,10,7,88,59,8,100,3,7
2021-05-23,82,5,93,12,78,81,0,64,94,72,41,2,8,71,78,65,72,4,75,44,78,59,33,69,64,25,0,65,68,84,14,84,11,52,85,85,87,84,77,80,60,2,26,45,4,0,0,8,10,29,30,30,14,16,31,1,16,62,6,0,84,84,30,2,66,0,13,79,38,87,11,0,78,83,1,57,42,0,4,58,0,0,10,69,94,36,78,25,14,86,41,0,55,92,0,43,19,44,59,0,78,22,19,0,89,0,8,22,53,73,91,23,95,65,13,1,20,0,73,6,8,88,67,73,65,17,51,90,47,16,39,80,76,75,13,0,60,1,55,0,6,70,79,32,37,0,10,45,27,65,42,53,86,32,51,70,12,52,13,43,68,37,84,2,76,56,50,21,6,40,48,1,84,0,0,0,74,0,47,33,79,94,62,80,67,70,59,62,89,78,61,54,70,11,0,83,2,29,31,98,18,90,7,25,2,4,0,14,47,79,64,31,0,71,42,37,93,41,52,0,80,22,49,34,79,70,30,86,13,58,53,82,38,6,57,73,87,69,66,15,48,82,39,55,72,8,7,89,44,4,68,9,5
2021-05-24,85,5,100,14,89,71,0,52,87,100,52,3,8,73,68,64,79,2,70,55,66,37,61,59,100,30,0,72,70,91,12,86,12,53,81,75,47,67,56,54,51,3,50,51,5,0,51,4,11,26,52,36,6,24,22,0,10,51,5,95,83,92,9,0,50,0,35,66,39,81,10,29,80,86,2,62,56,6,1,62,0,0,12,38,92,36,90,25,20,80,57,0,65,87,0,31,6,13,83,0,70,0,22,0,94,0,2,21,45,68,79,22,92,64,12,0,20,0,83,5,2,88,60,56,76,33,63,82,57,22,51,71,71,89,11,0,94,0,53,0,7,65,88,42,40,0,6,49,33,58,31,46,84,25,57,63,13,52,17,48,61,22,85,7,81,55,35,40,4,33,54,1,100,4,0,0,85,0,52,40,76,53,33,76,66,53,68,43,74,73,44,34,82,11,0,76,3,40,49,91,20,78,7,22,2,0,0,16,45,76,70,28,0,79,42,34,88,53,86,0,85,33,0,33,94,84,30,95,12,76,33,71,34,7,57,69,93,77,89,13,29,79,32,54,46,10,5,81,57,7,60,0,8
2021-05-25,81,4,91,14,73,64,1,47,91,67,42,2,5,71,70,62,81,3,64,58,69,31,57,66,54,26,0,62,73,91,11,80,14,48,63,81,52,67,54,44,52,5,53,40,4,0,0,4,9,20,59,22,5,36,17,0,12,44,6,0,83,91,15,0,57,0,30,63,37,74,6,0,83,84,0,58,62,6,3,60,0,13,18,47,92,37,86,25,16,78,34,0,70,89,0,40,17,39,72,8,72,39,24,0,93,0,10,22,42,70,77,22,89,81,11,0,19,0,41,4,9,84,62,70,78,33,62,78,46,27,46,63,66,95,16,8,83,3,52,0,9,55,87,49,33,20,7,51,32,68,23,46,95,23,51,66,18,40,12,46,61,40,100,11,65,58,37,27,4,37,43,1,88,1,0,0,83,0,57,38,83,69,33,76,61,45,70,42,80,69,87,20,82,11,0,79,1,33,47,86,18,74,11,22,3,0,0,16,40,75,71,83,0,81,49,28,85,57,87,0,90,27,0,36,97,67,25,98,10,69,66,72,31,6,52,63,92,76,97,13,43,88,55,53,43,9,23,82,59,6,57,3,13
2021-05-26,79,4,89,13,78,66,0,44,81,46,40,2,7,70,65,62,80,4,75,48,70,31,47,49,94,22,0,57,66,78,11,83,9,56,58,80,36,66,55,55,100,4,100,50,4,0,0,0,11,7,51,35,6,56,11,0,12,53,6,0,82,87,21,2,59,0,26,65,33,68,4,0,84,85,3,74,46,0,1,44,0,0,5,52,89,32,92,22,13,77,50,0,90,87,4,31,24,33,48,0,65,19,23,0,94,0,6,23,35,78,81,21,92,70,9,0,17,0,61,4,5,79,54,49,77,30,79,74,50,29,23,63,68,93,18,5,86,3,48,0,11,38,81,57,27,0,8,51,16,69,61,43,87,23,51,59,14,37,11,40,55,36,83,7,81,50,29,32,4,41,43,0,93,4,0,0,78,0,58,50,87,100,100,78,58,46,58,57,82,70,27,20,79,8,0,81,3,29,40,86,21,72,11,17,3,0,0,22,37,77,74,14,0,66,38,28,84,42,82,0,82,28,14,34,96,76,21,94,10,52,52,68,30,5,58,75,91,76,87,11,29,100,44,47,33,7,20,74,60,8,61,3,10
2021-05-27,77,4,86,14,78,79,0,41,89,47,40,2,8,59,63,63,87,4,68,57,70,43,54,67,80,23,0,61,67,81,11,82,14,65,37,78,74,68,47,82,69,6,62,34,4,0,0,0,10,26,49,41,5,75,11,0,12,53,6,0,85,90,12,2,65,0,12,61,68,75,8,0,80,86,2,49,56,0,0,57,0,0,14,57,95,24,98,27,20,82,90,0,100,85,0,31,29,7,68,0,59,20,23,0,86,0,7,22,35,66,75,21,95,52,11,0,17,0,37,6,7,82,60,61,79,32,63,78,54,17,20,64,66,88,15,0,81,3,51,0,3,66,92,39,35,0,7,52,16,63,23,44,89,27,67,70,14,34,16,52,60,55,91,13,73,48,30,40,5,38,54,0,93,0,0,0,90,0,54,33,86,64,36,79,57,48,72,62,74,74,33,20,93,7,0,62,2,26,42,86,20,75,7,17,3,4,0,22,39,81,86,14,0,75,51,17,86,37,82,0,85,31,29,39,100,73,22,92,10,69,81,69,31,6,57,64,92,75,90,15,0,79,56,50,29,7,13,79,59,10,59,6,8
2021-05-28,78,6,78,13,84,91,0,43,83,45,100,1,8,72,79,60,75,3,70,48,66,71,65,59,69,28,0,63,62,76,11,82,12,42,65,81,33,77,70,100,55,8,47,59,6,0,26,0,15,20,34,37,7,75,11,0,11,54,9,98,82,86,22,2,53,0,24,63,43,79,6,0,80,84,2,41,42,0,0,61,0,0,12,83,89,39,97,23,22,82,65,0,83,80,31,31,38,19,42,0,67,20,22,0,78,0,6,23,26,68,77,21,87,67,15,0,21,0,72,4,2,82,67,63,73,33,91,79,50,17,28,65,67,90,19,0,82,0,50,8,8,59,80,58,33,21,6,50,42,97,40,51,82,28,64,68,13,32,19,44,56,38,84,4,74,41,35,100,2,41,56,0,90,1,0,0,91,0,57,33,78,55,42,76,54,53,71,36,68,76,62,20,79,5,8,77,5,42,37,86,23,83,2,22,4,4,0,26,33,81,79,72,0,81,57,29,87,54,76,0,86,24,15,32,93,70,18,85,12,88,49,72,34,5,66,59,91,72,77,12,15,85,39,54,28,9,10,84,67,5,60,3,5
2021-05-29,78,5,83,12,94,96,0,45,94,53,91,1,9,72,93,72,76,2,74,43,72,24,54,56,65,25,0,60,73,77,14,84,14,44,42,83,42,86,82,82,65,8,47,35,3,25,87,0,13,22,38,51,14,89,13,1,18,54,5,54,85,84,7,5,81,0,31,69,47,83,6,0,80,83,1,52,48,0,0,66,0,15,8,87,86,36,78,25,11,85,42,0,84,92,11,31,63,15,60,0,70,22,22,0,78,0,8,23,35,62,88,23,94,73,12,1,21,0,56,5,4,79,66,57,70,24,86,91,51,26,36,75,60,75,21,0,63,1,50,0,8,67,80,41,31,0,8,56,37,79,26,50,89,20,53,67,10,39,26,49,64,42,84,2,88,41,36,71,4,47,37,0,92,0,0,0,84,0,46,34,85,67,64,82,90,61,61,33,69,82,75,26,75,10,9,62,7,45,46,90,19,95,7,22,2,4,0,14,27,79,66,48,0,76,38,26,90,66,51,0,80,21,0,31,82,82,20,88,12,58,71,87,37,5,77,81,83,68,65,14,0,77,64,68,26,9,12,93,58,4,62,3,6
2021-05-30,83,4,77,14,86,89,1,45,93,44,83,1,10,81,70,63,74,2,66,44,84,43,60,74,46,31,1,57,71,82,15,86,11,45,61,87,48,91,71,80,57,10,46,50,6,0,59,0,11,8,37,16,8,95,13,1,14,57,7,55,84,85,11,0,95,0,18,72,49,86,9,0,65,83,1,50,28,0,1,75,0,0,11,49,94,40,89,26,8,89,65,0,78,91,4,45,21,14,56,0,67,23,22,0,83,0,8,22,25,68,93,24,97,64,10,0,17,0,57,5,2,84,63,70,67,23,58,95,43,15,32,82,68,73,17,0,58,3,52,5,0,62,79,40,32,0,7,89,28,73,80,55,97,24,41,65,11,31,32,43,68,30,77,8,83,37,31,49,4,44,13,0,92,2,0,0,79,0,48,27,82,80,58,82,65,65,73,45,77,81,38,37,56,4,0,60,7,40,37,97,19,91,7,25,3,4,0,22,28,83,51,49,0,67,43,6,90,18,52,0,80,23,17,31,82,59,17,83,9,61,60,89,39,5,71,77,88,72,67,14,83,78,31,65,33,9,12,92,52,6,69,0,7
2021-05-31,78,4,69,13,79,79,0,39,78,33,68,1,8,72,57,65,69,2,55,48,59,70,53,48,68,27,0,46,58,76,11,78,10,51,60,74,32,72,63,62,43,10,50,44,4,44,0,0,11,20,29,23,8,93,17,0,10,50,6,0,75,85,6,2,69,0,23,61,40,67,4,58,77,78,0,39,36,0,5,63,0,0,12,58,91,28,86,22,18,78,43,0,79,86,4,35,50,34,60,0,62,20,24,0,79,0,4,23,35,62,82,23,91,75,11,1,22,0,29,5,5,80,51,64,71,38,47,85,53,11,28,76,59,73,27,3,59,1,49,0,4,52,74,49,32,81,7,61,8,73,31,42,86,23,73,61,16,23,44,38,57,30,82,10,53,44,37,48,3,44,44,1,98,0,0,0,87,0,57,35,70,81,50,75,53,54,72,49,59,71,89,77,79,7,0,77,3,39,50,89,18,82,7,20,11,8,0,10,31,74,80,28,0,71,35,23,80,64,63,6,80,33,45,30,88,54,17,80,12,68,53,80,36,4,50,67,84,77,78,9,29,78,30,51,22,8,4,81,57,6,59,0,8
2021-06-01,83,4,70,15,70,77,0,37,84,30,64,2,10,64,65,63,78,2,61,53,68,43,43,38,71,31,0,55,62,78,12,80,11,48,33,69,32,67,43,52,54,11,38,34,5,22,0,0,12,40,52,23,6,100,23,1,9,52,6,96,82,89,12,0,54,0,12,60,36,72,6,0,84,83,1,52,93,23,4,60,0,0,5,39,93,41,66,24,19,80,43,0,77,90,0,32,19,6,64,0,59,20,25,0,96,0,5,22,22,68,78,22,88,56,14,0,17,0,42,11,4,79,50,63,77,32,55,80,43,23,20,69,54,93,9,0,96,2,52,0,8,47,79,66,30,0,8,53,8,84,31,47,83,25,31,66,12,27,56,44,58,22,84,1,89,39,29,52,6,42,33,0,88,0,0,0,80,0,53,43,72,43,35,77,65,52,71,55,66,69,45,34,75,10,0,66,2,30,41,88,20,82,7,18,35,8,0,6,29,77,79,43,0,69,38,17,86,37,87,0,85,28,30,31,95,74,13,87,10,44,14,73,33,4,49,59,90,86,82,15,15,82,27,50,21,7,9,80,55,7,59,3,5
2021-06-02,82,4,71,15,71,79,0,37,76,20,64,2,8,58,62,64,77,4,49,50,73,58,45,62,77,26,0,65,57,79,12,79,13,51,57,62,32,62,50,59,58,13,59,23,3,22,25,8,12,20,54,45,13,89,11,1,11,44,6,47,80,90,18,2,53,0,38,60,34,75,8,0,72,83,2,20,60,6,3,45,0,0,14,57,94,53,76,21,23,78,39,0,78,82,0,35,61,24,74,0,59,0,28,0,97,0,4,22,29,63,77,22,88,82,10,0,19,0,45,100,5,81,43,55,78,37,50,78,45,16,35,66,57,83,10,0,87,1,50,0,5,40,81,63,33,0,8,52,24,75,46,39,85,24,82,64,11,21,45,44,55,7,84,4,73,41,37,41,2,39,54,0,77,1,0,0,88,0,55,45,70,90,34,79,47,54,69,40,73,69,44,29,78,5,7,100,0,27,38,85,23,87,2,19,41,0,0,12,31,77,78,42,2,73,40,39,86,26,89,12,87,25,0,35,94,62,15,97,8,66,28,72,32,4,51,55,93,77,90,13,29,77,18,47,23,8,8,75,57,5,56,0,8
2021-06-03,81,4,64,15,74,78,0,36,78,44,65,3,8,55,65,60,83,4,63,52,71,32,50,37,87,35,0,41,55,79,11,83,14,55,62,67,48,65,44,56,58,10,39,37,3,22,0,4,11,20,39,22,6,83,17,4,11,50,7,94,82,89,15,2,53,0,26,59,35,75,8,28,73,84,1,54,93,0,3,67,0,0,21,56,92,38,90,23,27,77,37,0,68,83,3,32,11,20,63,8,62,19,26,0,91,0,2,26,35,66,74,22,88,75,13,0,21,5,78,99,7,79,41,58,75,43,66,78,52,17,23,65,60,89,7,3,83,3,50,0,3,43,78,53,52,0,8,50,16,90,15,48,86,22,46,62,12,28,41,47,56,40,89,1,79,42,31,50,3,42,21,0,86,1,0,0,90,0,53,46,68,58,38,78,53,50,66,32,72,67,33,85,68,6,37,84,3,33,35,78,21,71,6,25,30,4,0,28,30,97,70,28,0,81,41,39,83,42,85,6,90,34,44,32,91,65,18,92,8,54,47,69,30,5,52,64,91,74,86,8,14,76,47,54,21,9,6,81,55,5,56,6,8
2021-06-04,79,5,69,17,72,76,0,37,96,31,69,2,7,65,71,66,77,2,68,53,68,45,56,50,55,100,0,65,57,79,12,81,15,46,39,70,28,72,55,48,55,15,35,57,6,0,0,4,14,14,30,28,16,78,6,100,11,100,5,100,82,85,10,0,58,0,32,60,39,83,8,30,70,83,0,35,66,6,2,71,0,0,17,100,93,100,71,27,14,82,77,0,85,84,8,38,30,26,68,0,46,41,27,0,91,0,6,28,22,69,78,23,92,79,11,0,20,0,39,71,4,85,52,61,77,41,57,81,73,10,49,67,56,90,14,9,78,6,50,0,12,56,84,50,36,42,10,47,26,78,32,49,88,20,43,67,13,27,53,52,58,19,94,13,66,41,33,43,4,42,34,0,90,0,0,0,92,4,58,47,70,50,39,77,47,59,75,55,80,74,46,35,86,6,55,75,3,39,41,83,19,88,5,26,100,8,5,26,31,98,79,15,0,87,44,71,87,78,78,67,84,70,46,37,90,65,15,97,8,54,25,78,33,5,55,73,88,77,81,14,30,84,43,53,22,9,8,86,58,4,59,6,2
2021-06-05,81,5,73,17,70,78,1,40,90,61,74,2,9,72,81,75,77,2,62,43,68,24,62,40,86,76,1,59,60,85,18,86,17,63,85,76,43,84,69,41,76,18,41,58,4,25,0,0,10,45,30,21,10,82,19,65,12,100,9,0,83,86,28,0,64,0,53,68,37,87,13,0,75,85,3,56,56,0,2,77,0,0,21,71,91,95,84,21,19,88,32,0,71,94,0,46,26,8,51,0,77,90,25,0,85,0,8,27,29,56,86,24,99,65,15,0,19,0,57,51,0,80,39,66,70,37,87,93,47,15,40,81,60,78,18,3,56,4,54,0,3,56,87,60,22,0,10,45,19,97,18,46,86,22,53,73,10,28,44,52,70,30,86,8,92,39,39,38,3,54,37,0,94,5,0,0,93,0,46,36,73,79,59,77,62,69,63,64,80,81,69,77,73,7,17,88,0,32,35,88,20,96,10,100,50,0,0,22,31,89,73,0,3,98,38,71,93,91,54,100,83,92,34,33,82,60,12,81,10,44,65,90,37,4,61,73,83,69,65,15,33,79,91,48,37,8,10,95,50,5,64,6,8
2021-06-06,84,6,66,15,81,83,0,40,80,53,66,3,10,74,68,72,79,2,59,46,82,42,61,31,57,54,0,63,57,87,14,83,13,64,76,71,30,78,59,40,60,18,36,69,4,25,29,4,12,22,31,15,10,79,19,38,15,79,7,0,85,85,17,5,63,0,9,71,42,95,4,0,78,91,0,54,58,0,0,47,0,15,11,59,100,79,82,24,16,88,58,0,63,95,8,59,21,45,53,9,71,67,27,0,96,0,7,26,39,59,85,25,96,71,14,1,19,0,70,39,0,79,45,76,71,36,62,100,47,17,31,84,66,74,19,3,62,5,56,0,14,55,77,65,33,0,8,46,28,82,52,46,86,26,35,67,15,23,41,54,62,29,84,5,75,38,39,46,5,47,49,0,82,2,0,0,78,0,48,33,75,67,65,80,85,70,62,55,74,79,62,37,66,3,34,94,7,32,32,90,21,88,7,76,31,0,0,21,30,83,66,64,0,86,44,57,92,72,53,53,85,67,100,34,76,70,11,89,9,48,76,87,38,5,56,78,83,73,66,11,33,77,53,55,19,10,5,91,55,4,65,3,6
2021-06-07,81,5,55,15,62,64,0,34,72,46,55,2,7,68,60,64,79,3,49,52,52,31,50,51,71,53,1,54,55,77,11,80,8,54,74,60,21,62,68,54,48,16,23,33,4,21,0,0,10,38,38,17,4,63,5,28,9,63,5,0,78,88,6,0,62,0,26,60,33,78,6,28,91,85,0,27,46,0,3,51,0,0,32,60,95,65,81,21,10,76,31,0,66,84,0,42,11,19,80,0,54,0,27,1,97,0,7,26,26,56,75,28,88,70,11,0,16,0,40,28,2,74,36,66,77,45,41,76,54,19,38,68,58,85,12,3,85,2,51,0,8,33,81,70,36,39,7,48,24,79,7,32,93,21,40,58,16,20,33,51,55,18,76,5,65,45,29,34,4,45,53,0,83,4,0,0,95,0,53,36,67,47,42,75,55,54,65,30,74,68,27,68,80,4,22,94,6,46,39,79,26,76,8,40,20,8,5,15,29,74,72,41,0,76,43,49,81,46,86,45,78,58,57,29,83,69,13,90,5,54,46,71,32,4,52,64,87,71,85,10,0,76,100,44,15,7,10,82,58,4,55,3,5
2021-06-08,81,5,62,15,71,63,0,33,69,51,50,3,8,58,58,63,79,2,48,56,54,46,37,34,43,56,2,52,48,78,10,80,13,54,56,58,52,62,48,51,49,20,32,49,3,42,24,0,8,13,41,30,5,58,27,24,12,65,6,0,80,88,18,6,51,0,55,61,65,75,11,28,78,86,1,23,52,6,1,42,0,0,18,60,95,57,78,24,9,80,31,0,57,84,10,47,18,26,61,0,55,19,32,0,98,0,13,27,22,61,80,100,89,60,8,0,22,0,56,26,2,95,44,52,80,86,65,73,50,18,64,70,51,85,14,3,86,4,49,0,8,64,78,65,34,38,8,49,32,87,15,45,87,23,64,65,14,24,31,42,57,25,83,7,65,45,33,42,4,40,21,1,94,4,0,0,99,0,52,41,66,36,36,76,46,50,64,58,63,69,69,37,78,4,36,80,1,30,41,78,44,72,0,45,23,4,0,30,29,76,90,41,0,84,34,76,83,97,85,34,81,100,28,31,96,81,13,96,6,63,32,72,31,4,57,57,89,76,86,11,28,80,43,38,16,8,5,79,59,6,57,0,7
2021-06-09,82,3,62,15,72,65,0,34,74,56,52,2,9,70,57,61,79,2,54,57,74,48,52,30,45,55,2,56,49,80,11,83,10,51,37,58,37,64,56,45,53,19,39,61,3,0,0,0,10,26,40,40,8,67,11,21,10,59,6,0,85,92,21,2,53,0,27,62,33,77,11,0,79,86,3,53,60,0,1,58,0,0,26,33,93,53,94,23,26,75,34,0,56,86,4,42,43,7,67,0,63,19,53,1,96,0,6,27,24,67,78,32,89,54,15,0,23,0,12,20,0,76,41,61,80,78,46,74,46,17,8,66,52,85,10,6,85,1,51,4,4,45,92,54,35,60,7,49,8,73,61,40,90,30,21,64,15,20,30,40,56,7,90,11,68,40,28,56,6,42,32,3,90,0,0,0,96,0,70,40,67,69,37,77,71,54,76,31,59,68,38,92,83,6,22,86,0,42,43,83,35,73,4,38,17,0,0,47,30,81,85,28,0,84,41,67,88,100,82,64,84,81,73,33,95,73,11,90,6,49,28,72,31,5,68,59,91,74,90,5,43,77,53,46,17,10,7,75,48,6,57,0,7
2021-06-10,79,5,61,15,78,62,0,34,79,65,56,2,7,65,51,63,86,2,53,55,61,21,48,38,66,43,2,48,43,78,11,83,13,45,44,63,54,64,58,78,70,21,48,31,3,22,26,12,9,7,39,23,6,60,17,20,12,59,8,0,83,91,22,4,56,0,27,63,32,77,8,0,86,86,4,44,79,0,6,55,0,0,16,38,94,49,77,21,15,81,40,0,58,84,3,38,25,27,79,0,54,39,44,0,94,0,6,25,10,70,80,22,89,76,8,0,21,0,42,23,9,86,37,60,80,87,63,70,49,19,32,71,52,94,7,3,82,2,49,0,6,41,85,60,38,60,11,47,8,91,23,39,86,23,41,65,13,20,33,38,58,26,96,9,82,36,36,56,7,35,44,1,94,5,0,0,100,0,61,46,69,54,78,77,58,53,70,43,90,73,50,42,76,5,15,62,3,42,39,80,60,81,4,44,17,0,0,16,32,85,71,28,5,76,40,45,89,74,83,65,86,56,30,31,95,78,13,91,7,69,19,72,30,5,66,61,91,73,92,8,29,85,36,43,13,9,8,82,63,3,62,3,9
2021-06-11,78,7,53,16,100,66,0,34,78,45,56,3,7,67,63,63,76,1,51,80,70,33,39,51,67,47,100,60,52,75,11,83,9,53,57,65,44,66,52,41,68,23,47,52,4,0,0,4,8,34,43,41,6,63,23,19,11,61,8,49,82,86,19,2,49,0,20,61,28,69,6,0,69,84,5,56,74,0,0,84,0,0,24,15,89,48,90,24,7,81,35,0,63,82,4,43,38,41,52,0,50,20,36,0,81,0,5,24,23,62,85,22,92,65,11,0,18,5,59,23,2,78,35,60,75,87,69,71,43,11,24,71,52,86,15,0,79,5,49,0,11,55,78,55,28,41,5,47,8,95,16,43,85,23,37,69,14,17,29,42,60,57,81,100,64,32,40,34,6,34,0,0,86,4,0,0,92,0,54,44,66,49,42,76,78,58,97,30,64,73,79,100,77,5,39,86,100,100,54,88,100,83,100,41,18,100,100,100,32,82,71,14,100,70,37,52,100,43,77,66,84,52,45,30,89,62,10,85,6,51,39,73,33,4,62,70,85,73,82,13,45,84,51,43,19,6,7,84,56,6,57,0,5
2021-06-12,80,5,57,16,96,65,0,38,78,71,57,4,9,80,70,71,73,1,60,72,81,37,69,51,63,46,79,62,51,80,14,84,11,45,56,72,61,81,75,73,69,27,59,66,4,25,29,0,8,45,47,21,10,64,26,21,16,74,11,54,81,84,42,0,54,0,44,66,38,87,7,0,80,87,3,48,67,0,1,68,0,0,35,54,90,51,87,21,11,88,18,0,64,92,0,46,49,8,61,0,74,22,39,0,80,0,4,27,24,57,94,23,91,63,12,0,18,0,71,17,0,83,48,65,71,83,67,79,64,17,36,83,59,70,15,0,58,3,54,0,5,62,78,54,20,46,8,44,28,72,18,46,93,30,100,71,17,20,33,44,59,34,84,78,92,38,38,41,7,49,50,0,85,0,2,0,83,0,51,25,69,24,55,77,57,70,95,33,73,77,19,25,58,3,43,74,51,66,38,93,50,100,87,45,16,54,22,25,27,80,66,16,66,76,40,32,93,42,53,33,77,51,67,31,78,64,11,76,6,51,82,86,37,8,59,71,80,69,72,9,50,81,71,49,20,8,10,88,45,6,63,0,6
